episode,reward
1,-35.91252
2,-28.373742
3,-36.417558
4,36.055568
5,-20.195289
6,-33.492636
7,-32.880559
8,-22.011312
9,-32.069458
10,-26.599135
11,-21.65514
12,-10.12578
13,-26.509937
14,-18.760376
15,-18.17964
16,-21.241624
17,-24.095554
18,-27.329865
19,-15.701165
20,-24.431713
21,-34.282346
22,-28.138118
23,-15.023049
24,-23.546263
25,-12.159464
26,3.595057
27,-10.106303
28,-22.243646
29,-32.499791
30,-21.054638
31,-37.578165
32,-5.654067
33,-24.739453
34,-26.574603
35,-25.623607
36,-15.663254
37,-16.542229
38,-15.38618
39,-16.830036
40,-24.529097
41,15.89737
42,-10.206067
43,-21.631665
44,-34.305119
45,-32.377784
46,-17.849796
47,-15.528389
48,12.214101
49,-20.884488
50,-18.158912
51,-2.802648
52,-20.451587
53,-0.870986
54,-13.943908
55,-19.054236
56,-28.186975
57,-10.389536
58,-17.330871
59,-13.738794
60,3.464391
61,-12.361689
62,-11.684374
63,-16.672554
64,-14.351849
65,-9.880163
66,-7.551438
67,-21.469529
68,-27.916799
69,4.329872
70,-20.144824
71,-26.532508
72,-26.301882
73,3.962431
74,2.596663
75,-24.542337
76,-20.673855
77,-33.314444
78,-24.543444
79,-25.119065
80,-11.376431
81,0.943498
82,-16.896569
83,-13.845229
84,-21.111212
85,-19.817
86,-18.610221
87,-20.981339
88,-12.930698
89,-14.094237
90,-27.16796
91,-22.591183
92,-6.492106
93,12.846973
94,-20.722698
95,-14.488489
96,-22.514386
97,-16.94754
98,60.635113
99,-12.0545
100,10.949459
101,-29.604376
102,-22.467755
103,-16.290425
104,-20.201871
105,-7.904169
106,-18.775126
107,28.965076
108,-14.42261
109,-12.687813
110,-18.192572
111,-6.32999
112,-33.055813
113,-22.132967
114,-16.216714
115,-6.942128
116,-20.750153
117,-12.437438
118,-14.885724
119,-9.391792
120,-15.839679
121,-18.697878
122,29.173412
123,91.846837
124,-13.410403
125,-23.986655
126,-14.598696
127,-15.231842
128,-21.789182
129,-9.634524
130,8.255255
131,-19.893372
132,-33.672151
133,-24.382037
134,-13.079155
135,-11.605612
136,10.24253
137,-11.239412
138,3.317783
139,-4.964837
140,-22.652886
141,-17.488355
142,-6.832274
143,5.968587
144,10.754057
145,4.269457
146,-16.530299
147,-22.972048
148,38.779966
149,-5.450124
150,-19.357825
151,-6.96559
152,-13.955012
153,-15.262166
154,-21.43699
155,-14.380012
156,-0.030245
157,-29.786936
158,-12.716785
159,-17.513944
160,8.338929
161,5.248358
162,-0.785298
163,-1.709605
164,-0.089684
165,-11.905031
166,20.178878
167,-1.426276
168,5.39256
169,-11.072053
170,2.048504
171,-18.761771
172,-0.074993
173,-4.238731
174,-19.37814
175,-22.2616
176,-2.772736
177,-17.169974
178,1.452029
179,8.72971
180,-2.807609
181,-15.341559
182,-19.324171
183,-12.564292
184,-13.528762
185,-33.732136
186,-0.66979
187,-2.115215
188,-12.146529
189,-20.281197
190,-20.251913
191,-20.585281
192,-18.739451
193,8.713987
194,-21.162513
195,-14.226874
196,5.414709
197,-1.213368
198,-12.67614
199,-18.760444
200,-19.222428
201,0.535458
202,-22.890175
203,-15.211327
